Name,Email,Date,Topic,Sentiment
Wendie Finlayson  ,w.finlay@yahoo.com,11/10/2013,Equality rights and citizenship,-82.00
Lloyd Tigner  ,lloyd@gmail.com,11/10/2013,Government spending,26.00
Mitchel Folkers  ,mitchel@fastmail.com,11/10/2013,Crime and policing,33.00
Myrna Wathen  ,wythen@gmail.com,11/10/2013,Food and farming,26.00
Glayds Verduzco  ,glaydysver@hotmail.co.uk,11/10/2013,Higher education,50.00
Gisela Mongeau  ,gisela.mong@fastmail.com,11/10/2013,Local government,58.00
Olimpia Strawbridge  ,olimipa@hotmail.com,11/10/2013,Welfare,19.00
Shara Yee  ,sharayee@hotmail.com,11/10/2013,Local government,26.00
Callie Escudero  ,callie@googlemail.com,11/10/2013,Law and the justice system,-26.00
Lecia Whitcher  ,lecia.witcher@yahoo.co.uk,11/10/2013,Energy,89.00
Christoper Ohair  ,ohair@yahoo.com,11/10/2013,Energy,89.00
Paulene Wilcoxson  ,paulene@iyjmlkd.com,11/10/2013,Welfare,-91.00
Gudrun Alvin  ,gudrun@sc.com,11/10/2013,Animal welfare,-64.00
Gerry Dahlen  ,gerry.dahlen@yahoo.my,11/11/2013,Defence and armed forces,50.00
Joselyn Alles  ,joselyn.alles@hotmail.com,11/11/2013,Energy,21.00
Richard Hallett  ,richard.hallett@gmail.com,11/11/2013,Welfare,-3.00
Jessia Weatherspoon  ,jessia@hotmail.com,11/11/2013,Housing,50.00
Lindsy Riebe  ,lindsy@hotmail.com,11/11/2013,Europe,-84.00
Debby Majeed  ,debby.majeed@googlemail.com,11/11/2013,Welfare,-19.00
Terrie Piersall  ,terrie@yahoo.co.uk,11/11/2013,Housing,41.00
Rozella Hattaway  ,rozella.hattaway@hotmail.com,11/11/2013,Housing,85.00
Jonnie Siler  ,jonniesiller@yahoo.col.uk,11/11/2013,Environment,-85.00
Sherrie Schleicher  ,sherriesr@gmail.com,11/11/2013,National health service,-74.00
Lorine Brost  ,lorinebrost@hotmail.com,11/11/2013,National health service,-74.00
Ryann Eggleston  ,ryann@outlook.com,11/11/2013,Europe,-69.00
Yetta Nicolas  ,yettan@parliament.uk,11/12/2013,National security,-3.00
Odell Jervis  ,odell@parliament.uk,11/12/2013,Housing,-29.00
Hester Shimp  ,hester@hotmail.com,11/12/2013,Animal welfare,14.00
Breann Galdamez  ,breann@yahoo.co.uk,11/12/2013,Defence and armed forces,-45.00
Tamisha Stamper  ,tamisha@tamisha.com,11/12/2013,Schools,-38.00
Carmen Caver  ,carmencaver@caver.com,11/12/2013,Children and young people,-26.00
Hal Cantu  ,hal@cantu.com,11/12/2013,Schools,43.00
Estella Chowdhury  ,estella@cbd.com,11/12/2013,Planning and building,91.00
Trudie Letson  ,trudie@letson.com,11/12/2013,Foreign affairs,77.00
Neil Zdenek,neil@zdenek.com,11/12/2013,UK Economy,-55.00
Pamila Hegarty  ,pamila@hegarty.com,11/12/2013,UK Economy,-75.00
Ariane Stepp  ,ariana@stepp.com,11/12/2013,Transport,-39.00
Alline Perrault  ,alline@perraut.com,11/12/2013,Transport,28.00
Alison Defore  ,alision@gud.com,11/12/2013,Tax and revenue,15.00
Lavelle Hiltz  ,lavell@hiltz.com,11/12/2013,Science and innovation,65.00
Timothy Arredondo  ,timothy@arre.com,11/12/2013,Defence and armed forces,58.00
Marquis Obrian  ,marquis@obrian.com,11/13/2013,Children and young people,-70.00
Herman Frakes  ,herman@frakes.com,11/13/2013,Social care,-52.00
Cassey Bowne  ,cassey@bowne.com,11/13/2013,Further education and skills,75.00
Josef Aldaco  ,josef@aladco.com,11/13/2013,Science and innovation,-41.00
Claribel Faith  ,k@claribel.com,11/13/2013,Europe,-87.00
Iesha Hultman  ,ilesha@hult.com,11/13/2013,Defence and armed forces,43.00
Sharlene Buzard  ,sharlene@buzard.com,11/13/2013,Europe,67.00
Eleni Son  ,eleni@son.com,11/13/2013,Energy,26.00
Andres Greenan  ,andres@greenan.com,11/13/2013,Crime and policing,-99.00
Bryan Polo  ,bryan@polo.co.uk,11/13/2013,Defence and armed forces,18.00
Mahalia Picken  ,mahalia@picken.com,11/13/2013,Europe,-85.00
Tod Mcconnaughy  ,tod@mcconn.com,11/13/2013,Food and farming,69.00
Tanner Lawley  ,tanner@lawley.com,11/13/2013,Government efficiency transparency and accountability,30.00
Kandi Genna  ,kandi@genna.com.au,11/14/2013,Energy,53.00
Tasha Ratliff  ,tasha@tasha.com,11/14/2013,Europe,69.00
Betty Metz  ,betty@metz.com,11/14/2013,Pensions and an aging society,70.00
Tawana Chancellor  ,tawana@chann.com,11/14/2013,Environment,16.00
Chanda Prokop  ,chanda@prokop.com,11/14/2013,Europe,5.00
France Obrian  ,france.obrian@obri.com,11/14/2013,Welfare,72.00
